Grupė,Numeris,Pavadinimas,Kategorija,Sub-kategorija,Sub-sub-kategorija,sub-sub-sub-kategorijos
P433,4302252,Klij≈≥ strypeliai pistoletui 11x200 mm  5 vnt. raudoni YT-82434 YATO   spec,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302257,Klij≈≥ strypeliai pistoletui 11x200 mm  5 vnt. rudi YT-82439 YATO,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4304650,Klij≈≥ strypeliai pistoletui 11x200 mm  5 vnt. skaidr≈´s 065917,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302254,Klij≈≥ strypeliai pistoletui 11x200 mm  5 vnt. ≈æali YT-82436 YATO spec,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302173,Klij≈≥ strypeliai pistoletui 11x200 mm  6 vnt. ≈æali blizg≈´s HR17680,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302619,Klij≈≥ strypeliai pistoletui 11x200 mm 1 kg skaidr≈´s (apie 50 vnt) 73300 Taivanis,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302566,Klij≈≥ strypeliai pistoletui 11x200 mm 12 vnt. ƒØv. spalv≈≥ 20819 (1),Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4304646,"Klij≈≥ strypeliai pistoletui 11x300 mm 0,5 kg 16 vnt. 0470 TACWISE",Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P434,4340002,Klijai batams kontaktiniai Moment Shoe Glue 50 ml Henkel,Remonto darbams,"Klijai, montavimo putos, silikonai ",Specialios paskirties klijai ,
P434,4340000,Klijai epoksidiniai MOMENT Pattex Repair Epoxy 5 min. 11 ml,Remonto darbams,"Klijai, montavimo putos, silikonai ",Specialios paskirties klijai ,
P434,4340001,Klijai epoksidiniai MOMENT Repair Express 48 g 5 min. Henkel,Remonto darbams,"Klijai, montavimo putos, silikonai ",Specialios paskirties klijai ,
P434,4302010,Klijai gumai MOMENT RUBBER 30 ml Henkel (6),Remonto darbams,"Klijai, montavimo putos, silikonai ",Specialios paskirties klijai ,
P434,4304985,"Klijai LIPALAS D3 medienai  0,5 kg (12)",Remonto darbams,"Klijai, montavimo putos, silikonai ",Specialios paskirties klijai ,
P434,4304986,Klijai LIPALAS D3 medienai  1 kg (6),Remonto darbams,"Klijai, montavimo putos, silikonai ",Specialios paskirties klijai ,
P440,4400296,Lemputƒó 18W taupanti energijƒÖ 3UL E14 HY-3UL-1,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400297,Lemputƒó 18W taupanti energijƒÖ O apvali E14 HY-O-14,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400261,Lemputƒó 20W taupanti energijƒÖ 060102,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400305,Lemputƒó 20W taupanti energijƒÖ O apvali E14 HY-O-11,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400299,Lemputƒó 20W taupanti energijƒÖ O apvali E14 HY-O-14,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400298,Lemputƒó 20W taupanti energijƒÖ O apvali E27 HY-O-14,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400307,Lemputƒó 26W taupanti energijƒÖ O apvali E14 HY-O-11  mn500,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400301,Lemputƒó 26W taupanti energijƒÖ O apvali E14 HY-O-14,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4405232,Lemputƒó halogeninƒó 120W 78 mm 2 vnt. 82771 Vorel,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400263,Lemputƒó halogeninƒó 400W 118 mm 2 vnt. 82772 Vorel,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400282,Lemputƒó LED 2 vnt (atspari vandeniui) su pulteliu Finnlumor 318624,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400322,Lemputƒó LED A60 E27 230V 10W 806LM 3000K gelsva GREELUX (10),Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400316,Lemputƒó LED A60 E27 230V 10W 806LM 4000K balta GREELUX (10),Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400323,Lemputƒó LED A60 E27 230V 15W 1350LM 3000K gelsva GREELUX (10),Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400318,Lemputƒó LED A60 E27 230V 15W 1350LM 4000K balta GREELUX (10),Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400325,Lemputƒó LED C37 E14 230V 8W 640LM 3000K gelsva GREELUX (10),Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400328,Lemputƒó LED C37 E14 230V 8W 640LM 4000K balta GREELUX (10),Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400278,Lemputƒó LED dekoravimui ƒØ vazƒÖ (atspari vandeniui) su pulteliu Finnlumor 308974,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400315,Lemputƒó LED P45 E14 230V 3W 210LM 3000K 83801 STHOR i≈°p.,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400319,Lemputƒó LED P45 E27 230V 8W 640LM 3000K gelsva GREELUX (10),Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4400269,Lemputƒó naktinƒó unitazo ap≈°vietimui LED 8 spalvos 75455 FALA,Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4406027,Lemputƒó pramon. ap≈°v.  25W E27 Ukraina (10),Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
P440,4405018,Lemputƒó pramon. ap≈°v.  40W E27 Ukraina (10),Remonto darbams,Apšvietimo ir elektros prekės ,Lemputės,
